Log file created.
Domain::ReadTrajectory: Reading Trajectories From File: [Traj_1_.h5]
Domain::ReadTrajectory: Reading [1] Trajectories; Range [0 -> 0]
Domain::ReadTrajectory: Estimated Size of Particle Data: [20812 Kilobytes]
Particle::Load: Reading Trajectory [0]
Particle::Load: Particle [0] Total Steps [444288]
Domain::ReadTrajectory: Size of Particle Data: [20826 Kilobytes]
Domain::ReduceBunchSize(): Bunch Size (kp) in Moving Frame: [-1.42, 0.00].
Domain::Output: Data Buffer Size Needed [1 Kilobytes]:
Domain::OnCalculate: [ 23.0%] Time[  0.01 min ****----------------   0.05 min]
Domain::OnCalculate: [ 23.5%] Time[  0.02 min ****----------------   0.05 min]
Domain::OnCalculate: [ 24.0%] Time[  0.02 min ****----------------   0.05 min]
Domain::OnCalculate: [ 24.5%] Time[  0.02 min ****----------------   0.05 min]
Domain::OnCalculate: [ 25.0%] Time[  0.02 min ****----------------   0.05 min]
Domain::OnCalculate: [ 25.5%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 26.0%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 26.5%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 27.0%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 27.5%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 28.0%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 28.5%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 29.0%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 29.5%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 30.0%] Time[  0.02 min *****---------------   0.05 min]
Domain::OnCalculate: [ 30.5%] Time[  0.02 min ******--------------   0.05 min]
Domain::OnCalculate: [ 31.0%] Time[  0.02 min ******--------------   0.05 min]
Domain::OnCalculate: [ 31.5%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 32.0%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 32.5%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 33.0%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 33.5%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 34.0%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 34.5%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 35.0%] Time[  0.02 min ******--------------   0.04 min]
Domain::OnCalculate: [ 35.5%] Time[  0.02 min *******-------------   0.04 min]
Domain::OnCalculate: [ 36.0%] Time[  0.02 min *******-------------   0.04 min]
Domain::OnCalculate: [ 36.5%] Time[  0.02 min *******-------------   0.04 min]
Domain::OnCalculate: [ 37.0%] Time[  0.02 min *******-------------   0.04 min]
Domain::OnCalculate: [ 37.5%] Time[  0.02 min *******-------------   0.04 min]
Domain::OnCalculate: [ 38.0%] Time[  0.03 min *******-------------   0.04 min]
Domain::OnCalculate: [ 38.5%] Time[  0.03 min *******-------------   0.04 min]
Domain::OnCalculate: [ 39.0%] Time[  0.03 min *******-------------   0.04 min]
Domain::OnCalculate: [ 39.5%] Time[  0.03 min *******-------------   0.04 min]
Domain::OnCalculate: [ 40.0%] Time[  0.03 min *******-------------   0.04 min]
Domain::OnCalculate: [ 40.5%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 41.0%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 41.5%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 42.0%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 42.5%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 43.0%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 43.5%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 44.0%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 44.5%] Time[  0.03 min ********------------   0.04 min]
Domain::OnCalculate: [ 45.0%] Time[  0.03 min ********------------   0.04 min]
Domain::Output: Gather Data...
Domain::Output: Data Buffer Size Needed [1 Kilobytes]:
Domain::OnCalculate: [ 45.5%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 46.0%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 46.5%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 47.0%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 47.5%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 48.0%] Time[  0.03 min *********-----------   0.04 min]
Domain::OnCalculate: [ 48.5%] Time[  0.03 min *********-----------   0.03 min]
Domain::OnCalculate: [ 49.0%] Time[  0.03 min *********-----------   0.03 min]
Domain::OnCalculate: [ 49.5%] Time[  0.03 min *********-----------   0.03 min]
Domain::OnCalculate: [ 50.0%] Time[  0.03 min *********-----------   0.03 min]
Domain::OnCalculate: [ 50.5%] Time[  0.03 min **********----------   0.03 min]
Domain::OnCalculate: [ 51.0%] Time[  0.03 min **********----------   0.03 min]
Domain::OnCalculate: [ 51.5%] Time[  0.03 min **********----------   0.03 min]
Domain::OnCalculate: [ 52.0%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 52.5%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 53.0%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 53.5%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 54.0%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 54.5%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 55.0%] Time[  0.04 min **********----------   0.03 min]
Domain::OnCalculate: [ 55.5%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 56.0%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 56.5%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 57.0%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 57.5%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 58.0%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 58.5%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 59.0%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 59.5%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 60.0%] Time[  0.04 min ***********---------   0.03 min]
Domain::OnCalculate: [ 60.5%] Time[  0.04 min ************--------   0.03 min]
Domain::OnCalculate: [ 61.0%] Time[  0.04 min ************--------   0.03 min]
Domain::OnCalculate: [ 61.5%] Time[  0.04 min ************--------   0.03 min]
Domain::OnCalculate: [ 62.0%] Time[  0.04 min ************--------   0.03 min]
Domain::OnCalculate: [ 62.5%] Time[  0.04 min ************--------   0.03 min]
Domain::OnCalculate: [ 63.0%] Time[  0.04 min ************--------   0.02 min]
Domain::OnCalculate: [ 63.5%] Time[  0.04 min ************--------   0.02 min]
Domain::OnCalculate: [ 64.0%] Time[  0.04 min ************--------   0.02 min]
Domain::OnCalculate: [ 64.5%] Time[  0.04 min ************--------   0.02 min]
Domain::OnCalculate: [ 65.0%] Time[  0.04 min ************--------   0.02 min]
Domain::OnCalculate: [ 65.5%] Time[  0.04 min *************-------   0.02 min]
Domain::OnCalculate: [ 66.0%] Time[  0.04 min *************-------   0.02 min]
Domain::OnCalculate: [ 66.5%] Time[  0.04 min *************-------   0.02 min]
Domain::OnCalculate: [ 67.0%] Time[  0.04 min *************-------   0.02 min]
Domain::OnCalculate: [ 67.5%] Time[  0.05 min *************-------   0.02 min]
Domain::Output: Gather Data...
Domain::Output: Data Buffer Size Needed [1 Kilobytes]:
Domain::OnCalculate: [ 68.0%] Time[  0.05 min *************-------   0.02 min]
Domain::OnCalculate: [ 68.5%] Time[  0.05 min *************-------   0.02 min]
Domain::OnCalculate: [ 69.0%] Time[  0.05 min *************-------   0.02 min]
Domain::OnCalculate: [ 69.5%] Time[  0.05 min *************-------   0.02 min]
Domain::OnCalculate: [ 70.0%] Time[  0.05 min *************-------   0.02 min]
Domain::OnCalculate: [ 70.5%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 71.0%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 71.5%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 72.0%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 72.5%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 73.0%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 73.5%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 74.0%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 74.5%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 75.0%] Time[  0.05 min **************------   0.02 min]
Domain::OnCalculate: [ 75.5%] Time[  0.05 min ***************-----   0.02 min]
Domain::OnCalculate: [ 76.0%] Time[  0.05 min ***************-----   0.02 min]
Domain::OnCalculate: [ 76.5%] Time[  0.05 min ***************-----   0.02 min]
Domain::OnCalculate: [ 77.0%] Time[  0.05 min ***************-----   0.02 min]
Domain::OnCalculate: [ 77.5%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 78.0%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 78.5%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 79.0%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 79.5%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 80.0%] Time[  0.05 min ***************-----   0.01 min]
Domain::OnCalculate: [ 80.5%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 81.0%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 81.5%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 82.0%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 82.5%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 83.0%] Time[  0.05 min ****************----   0.01 min]
Domain::OnCalculate: [ 83.5%] Time[  0.06 min ****************----   0.01 min]
Domain::OnCalculate: [ 84.0%] Time[  0.06 min ****************----   0.01 min]
Domain::OnCalculate: [ 84.5%] Time[  0.06 min ****************----   0.01 min]
Domain::OnCalculate: [ 85.0%] Time[  0.06 min ****************----   0.01 min]
Domain::OnCalculate: [ 85.5%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 86.0%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 86.5%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 87.0%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 87.5%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 88.0%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 88.5%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 89.0%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 89.5%] Time[  0.06 min *****************---   0.01 min]
Domain::OnCalculate: [ 90.0%] Time[  0.06 min *****************---   0.01 min]
Domain::Output: Gather Data...
Domain::Output: Data Buffer Size Needed [1 Kilobytes]:
Domain::OnCalculate: [ 90.5%] Time[  0.06 min ******************--   0.01 min]
Domain::OnCalculate: [ 91.0%] Time[  0.06 min ******************--   0.01 min]
Domain::OnCalculate: [ 91.5%] Time[  0.06 min ******************--   0.01 min]
Domain::OnCalculate: [ 92.0%] Time[  0.06 min ******************--   0.01 min]
Domain::OnCalculate: [ 92.5%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 93.0%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 93.5%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 94.0%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 94.5%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 95.0%] Time[  0.06 min ******************--   0.00 min]
Domain::OnCalculate: [ 95.5%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 96.0%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 96.5%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 97.0%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 97.5%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 98.0%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 98.5%] Time[  0.06 min *******************-   0.00 min]
Domain::OnCalculate: [ 99.0%] Time[  0.07 min *******************-   0.00 min]
Domain::OnCalculate: [ 99.5%] Time[  0.07 min *******************-   0.00 min]
Domain::OnCalculate: [100.0%] Time[  0.07 min *******************-   0.00 min]
